Name,Date,Chain,Height,Addresses,Bug Type
tinu,2023-1-26,mainnet,16489408,"0xb835752Feb00c278484c464b697e03b03C53E11B,0x2d0E64B6bF13660a4c0De42a0B88144a7C10991F",Reflection Token
bevo,2023-1-30,bsc,25230702,"0xc6Cb12df4520B7Bf83f64C79c585b8462e18B6Aa,0xA6eB184a4b8881C0a4F7F12bBF682FD31De7a633",Reflection Token
sheep,2023-2-10,bsc,25543755,"0x912DCfBf1105504fB4FF8ce351BEb4d929cE9c24,0x0025B42bfc22CbbA6c02d23d4Ec2aBFcf6E014d4",Reflection Token
starlink,2023-2-17,bsc,25729304,"0x518281F34dbf5B76e6cdd3908a6972E8EC49e345,0x425444dA1410940CFdfB6A980Bd16aA7a5376d6D",Logical Bug
bigfi,2023-3-22,bsc,26685503,"0xd3d4B46Db01C006Fb165879f343fc13174a1cEeB,0xA269556EdC45581F355742e46D2d722c5F3f551a",Reflection Token
safemoon,2023-3-28,bsc,26854757,"0x42981d0bfbAf196529376EE702F2a9Eb9092fcB5,0x1CEa83EC5E48D9157fCAe27a19807BeF79195Ce1",Logical Bug
allbridge,2023-4-2,bsc,26982067,"0x312Bc7eAAF93f1C60Dc5AfC115FcCDE161055fb0,0x179aaD597399B9ae078acFE2B746C09117799ca0,0xB19Cd6AB3890f18B662904fd7a40C003703d2554,0x7E6c2522fEE4E74A0182B9C6159048361BC3260A",Price Manipulation
swapos,2023-4-16,mainnet,17057419,"0x8ce2F9286F50FbE2464BFd881FAb8eFFc8Dc584f,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x09176F68003c06F190ECdF40890E3324a9589557",Logical Bug
olife,2023-4-19,bsc,27470678,"0xb5a0Ce3Acd6eC557d39aFDcbC93B07a1e1a9e3fa,0x915C2DFc34e773DC3415Fe7045bB1540F8BDAE84",Reflection Token
axioma,2023-4-24,bsc,27620320,"0xB6CF5b77B92a722bF34f6f5D6B1Fe4700908935E,0x2C25aEe99ED08A61e7407A5674BC2d1A72B5D8E3",Logical Bug
neverfall,2023-5-3,bsc,27863177,"0x5ABDe8B434133C98c36F4B21476791D95D888bF5,0x051d6a5f987e4fc53B458eC4f88A104356E6995a",Price Manipulation
melo,2023-5-6,bsc,27960445,0x9A1aEF8C9ADA4224aD774aFdaC07C24955C92a54,Access Control
lw,2023-5-12,bsc,28133285,"0x7B8C378df8650373d82CeB1085a18FE34031784F,0x6D2D124acFe01c2D2aDb438E37561a0269C6eaBB",Price Manipulation
selltoken,2023-5-13,bsc,28168034,"0xa645995e9801F2ca6e2361eDF4c2A138362BADe4,0x57Db19127617B77c8abd9420b5a35502b59870D6",Insufficient Input Validaton
cs,2023-5-24,bsc,28466976,0x8BC6Ce23E5e2c4f0A96429E3C9d482d74171215e,Logical Bug
fapen,2023-5-29,bsc,28637846,0xf3F1aBae8BfeCA054B330C379794A7bf84988228,Logical Bug
cellframe,2023-6-1,bsc,28708273,"0x1c15f4E3fd885a34660829aE692918b4b9C1803d,0xB4E47c13dB187D54839cd1E08422Af57E5348fc1,0xf3E1449DDB6b218dA2C9463D4594CEccC8934346,0xd98438889Ae7364c7E2A3540547Fad042FB24642",Logical Bug
sellc03,2023-6-11,bsc,29005754,"0xa645995e9801F2ca6e2361eDF4c2A138362BADe4,0x84Be9475051a08ee5364fBA44De7FE83a5eCC4f1,0x9523B023E1D2C490c65D26fad3691b024d0305D7",Price Manipulation
cfc,2023-6-15,bsc,29116478,"0x595488F902C4d9Ec7236031a1D96cf63b0405CF0,0xdd9B223AEC6ea56567A62f21Ff89585ff125632c,0x4d7Fa587Ec8e50bd0E9cD837cb4DA796f47218a1",Price Manipulation
depusdt,2023-6-15,mainnet,17484161,"0xdAC17F958D2ee523a2206206994597C13D831ec7,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x7b190a928Aa76EeCE5Cb3E0f6b3BdB24fcDd9b4f,0x2a2b195558cF89AA617979ce28880BbF7e17bc45",Access Control
bunn,2023-6-22,bsc,29304627,"0xc54AAecF5fA1b6c007d019a9d14dFb4a77CC3039,0xb4B84375Ae9bb94d19F416D3db553827Be349520",Reflection Token
shidoglobal,2023-6-24,bsc,29365171,"0xaF0CA21363219C8f3D8050E7B61Bb5f04e02F8D4,0x9869674E80D632F93c338bd398408273D20a6C8e,0xa963eE460Cf4b474c35ded8fFF91c4eC011FB640,0x733Af324146DCfe743515D8D77DC25140a07F9e0",Logical Bug
bamboo,2023-7-4,bsc,29668034,"0x0557713d02A15a69Dea5DD4116047e50F521C1b1,0xED56784bC8F2C036f6b0D8E04Cb83C253e4a6A94",Price Manipulation
lusd,2023-7-7,bsc,29756866,"0x10ED43C718714eb63d5aA57B78B54704E256024E,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,0xdeC12a1dCbC1F741cCD02dFd862ab226F6383003,0x3F803EC2b816Ea7F06EC76aA2B6f2532F9892d62,0x637De69F45F3b66D5389F305088A38109aA0cf7C,0x3cD632C25A4Db4c1A636cFb23B9285Be1097A60d",Price Manipulation
newfi,2023-7-17,bsc,30043573,0xB8dC09Eec82CaB2E86C7EdC8DD5882dd92d22411,Logical Bug
apedao,2023-7-18,bsc,30072293,"0xee2a9D05B943C1F33f3920C750Ac88F74D0220c3,0xB47955B5B7EAF49C815EBc389850eb576C460092",Logical Bug
utopia,2023-7-20,bsc,30119396,"0xfeEf619a56fCE9D003E20BF61393D18f62B0b2D5,0xb1da08C472567eb0EC19639b1822F578d39F3333",Logical Bug
ffist,2023-7-20,bsc,30113117,"0x80121DA952A74c06adc1d7f85A237089b57AF347,0x7a3Adf2F6B239E64dAB1738c695Cf48155b6e152",Logical Bug
sut,2023-7-22,bsc,30165901,"0x70E1bc7E53EAa96B74Fad1696C29459829509bE2,0xF075c5C7BA59208c0B9c41afcCd1f60da9EC9c37",Logical Bug
uwerx,2023-8-2,mainnet,17826202,"0xa41529982BcCCDfA1105C6f08024DF787CA758C4,0x4306B12F8e824cE1fa9604BbD88f2AD4f0FE3c54",Logical Bug
gss,2023-8-24,bsc,31108558,"0x1ad2cB3C2606E6D5e45c339d10f81600bdbf75C0,0xB4F4cD1cc2DfF1A14c4Aaa9E9434A92082855C64,0x37e42B961AE37883BAc2fC29207A5F88eFa5db66",Price Manipulation
